StrideIndex,Subject,Trial,Speed
1,AB10,levelground_ccw_fast_01_01_07,fast
2,AB10,levelground_ccw_fast_01_01_08,fast
3,AB10,levelground_ccw_fast_01_02_07,fast
4,AB10,levelground_ccw_fast_01_02_08,fast
5,AB10,levelground_ccw_fast_01_03_09,fast
6,AB10,levelground_ccw_fast_01_03_10,fast
7,AB10,levelground_ccw_fast_02_01_07,fast
8,AB10,levelground_ccw_fast_02_01_08,fast
9,AB10,levelground_ccw_fast_02_02_07,fast
10,AB10,levelground_ccw_fast_02_02_08,fast
11,AB10,levelground_ccw_normal_01_01_07,normal
12,AB10,levelground_ccw_normal_01_01_08,normal
13,AB10,levelground_ccw_normal_01_01_09,normal
14,AB10,levelground_ccw_normal_01_02_07,normal
15,AB10,levelground_ccw_normal_01_02_08,normal
16,AB10,levelground_ccw_normal_01_02_09,normal
17,AB10,levelground_ccw_normal_01_03_08,normal
18,AB10,levelground_ccw_normal_01_03_09,normal
19,AB10,levelground_ccw_normal_01_04_03,normal
20,AB10,levelground_ccw_normal_01_04_08,normal
21,AB10,levelground_ccw_normal_01_04_09,normal
22,AB10,levelground_ccw_normal_01_05_07,normal
23,AB10,levelground_ccw_normal_01_05_08,normal
24,AB10,levelground_ccw_normal_01_05_09,normal
25,AB10,levelground_ccw_slow_01_01_03,slow
26,AB10,levelground_ccw_slow_01_01_09,slow
27,AB10,levelground_ccw_slow_01_01_10,slow
28,AB10,levelground_ccw_slow_01_01_11,slow
29,AB10,levelground_ccw_slow_01_02_04,slow
30,AB10,levelground_ccw_slow_01_02_10,slow
31,AB10,levelground_ccw_slow_01_02_11,slow
32,AB10,levelground_ccw_slow_01_02_12,slow
33,AB10,levelground_ccw_slow_01_03_04,slow
34,AB10,levelground_ccw_slow_01_03_10,slow
35,AB10,levelground_ccw_slow_01_03_11,slow
36,AB10,levelground_ccw_slow_01_03_12,slow
37,AB10,levelground_ccw_slow_01_04_03,slow
38,AB10,levelground_ccw_slow_01_04_09,slow
39,AB10,levelground_ccw_slow_01_04_10,slow
40,AB10,levelground_ccw_slow_01_04_11,slow
41,AB10,levelground_ccw_slow_02_01_03,slow
42,AB10,levelground_ccw_slow_02_01_09,slow
43,AB10,levelground_ccw_slow_02_01_10,slow
44,AB10,levelground_ccw_slow_02_01_11,slow
45,AB10,levelground_cw_fast_01_01_02,fast
46,AB10,levelground_cw_fast_01_01_03,fast
47,AB10,levelground_cw_fast_01_01_04,fast
48,AB10,levelground_cw_fast_01_01_09,fast
49,AB10,levelground_cw_fast_01_02_02,fast
50,AB10,levelground_cw_fast_01_02_03,fast
51,AB10,levelground_cw_fast_01_02_04,fast
52,AB10,levelground_cw_fast_01_02_09,fast
53,AB10,levelground_cw_fast_01_03_02,fast
54,AB10,levelground_cw_fast_01_03_03,fast
55,AB10,levelground_cw_fast_01_03_04,fast
