StrideIndex,Subject,Trial,Speed
1,AB23,levelground_ccw_fast_01_01_03,fast
2,AB23,levelground_ccw_fast_01_01_08,fast
3,AB23,levelground_ccw_fast_01_02_09,fast
4,AB23,levelground_ccw_fast_01_03_04,fast
5,AB23,levelground_ccw_fast_01_03_09,fast
6,AB23,levelground_ccw_fast_01_04_03,fast
7,AB23,levelground_ccw_fast_01_04_08,fast
8,AB23,levelground_ccw_fast_01_05_03,fast
9,AB23,levelground_ccw_fast_01_05_08,fast
10,AB23,levelground_ccw_fast_01_06_03,fast
11,AB23,levelground_ccw_fast_01_06_08,fast
12,AB23,levelground_ccw_normal_01_01_03,normal
13,AB23,levelground_ccw_normal_01_01_08,normal
14,AB23,levelground_ccw_normal_01_02_03,normal
15,AB23,levelground_ccw_normal_01_02_08,normal
16,AB23,levelground_ccw_normal_01_02_09,normal
17,AB23,levelground_ccw_normal_01_03_04,normal
18,AB23,levelground_ccw_normal_01_03_08,normal
19,AB23,levelground_ccw_normal_01_03_09,normal
20,AB23,levelground_ccw_normal_01_04_03,normal
21,AB23,levelground_ccw_normal_01_04_08,normal
22,AB23,levelground_ccw_normal_01_05_03,normal
23,AB23,levelground_ccw_normal_01_05_08,normal
24,AB23,levelground_ccw_slow_01_01_02,slow
25,AB23,levelground_ccw_slow_01_01_03,slow
26,AB23,levelground_ccw_slow_01_01_08,slow
27,AB23,levelground_ccw_slow_01_01_09,slow
28,AB23,levelground_ccw_slow_01_01_10,slow
29,AB23,levelground_ccw_slow_01_02_03,slow
30,AB23,levelground_ccw_slow_01_02_09,slow
31,AB23,levelground_ccw_slow_01_02_10,slow
32,AB23,levelground_ccw_slow_01_02_11,slow
33,AB23,levelground_ccw_slow_01_03_03,slow
34,AB23,levelground_ccw_slow_01_03_09,slow
35,AB23,levelground_ccw_slow_01_03_10,slow
36,AB23,levelground_ccw_slow_01_03_11,slow
37,AB23,levelground_ccw_slow_01_04_03,slow
38,AB23,levelground_ccw_slow_01_04_04,slow
39,AB23,levelground_ccw_slow_01_04_09,slow
40,AB23,levelground_ccw_slow_01_04_10,slow
41,AB23,levelground_ccw_slow_01_04_11,slow
42,AB23,levelground_ccw_slow_01_05_04,slow
43,AB23,levelground_ccw_slow_01_05_05,slow
44,AB23,levelground_ccw_slow_01_05_10,slow
45,AB23,levelground_ccw_slow_01_05_11,slow
46,AB23,levelground_ccw_slow_01_05_12,slow
47,AB23,levelground_cw_fast_01_01_02,fast
48,AB23,levelground_cw_fast_01_01_03,fast
49,AB23,levelground_cw_fast_01_01_04,fast
50,AB23,levelground_cw_fast_01_01_09,fast
51,AB23,levelground_cw_fast_01_02_02,fast
52,AB23,levelground_cw_fast_01_02_03,fast
53,AB23,levelground_cw_fast_01_02_09,fast
54,AB23,levelground_cw_fast_01_03_02,fast
55,AB23,levelground_cw_fast_01_03_03,fast
56,AB23,levelground_cw_fast_01_03_09,fast
57,AB23,levelground_cw_fast_01_04_03,fast
58,AB23,levelground_cw_fast_01_04_04,fast
59,AB23,levelground_cw_fast_01_04_10,fast
60,AB23,levelground_cw_fast_01_05_02,fast
61,AB23,levelground_cw_fast_01_05_03,fast
62,AB23,levelground_cw_fast_01_05_09,fast
63,AB23,levelground_cw_fast_01_06_02,fast
64,AB23,levelground_cw_fast_01_06_03,fast
65,AB23,levelground_cw_fast_01_06_09,fast
66,AB23,levelground_cw_normal_01_01_02,normal
67,AB23,levelground_cw_normal_01_01_03,normal
68,AB23,levelground_cw_normal_01_01_04,normal
69,AB23,levelground_cw_normal_01_01_11,normal
70,AB23,levelground_cw_normal_01_01_12,normal
71,AB23,levelground_cw_normal_01_02_02,normal
72,AB23,levelground_cw_normal_01_02_03,normal
73,AB23,levelground_cw_normal_01_02_04,normal
74,AB23,levelground_cw_normal_01_02_11,normal
75,AB23,levelground_cw_normal_01_02_12,normal
76,AB23,levelground_cw_normal_01_03_02,normal
77,AB23,levelground_cw_normal_01_03_03,normal
78,AB23,levelground_cw_normal_01_03_04,normal
79,AB23,levelground_cw_normal_01_03_10,normal
80,AB23,levelground_cw_normal_01_03_11,normal
81,AB23,levelground_cw_normal_01_04_03,normal
82,AB23,levelground_cw_normal_01_04_04,normal
83,AB23,levelground_cw_normal_01_04_05,normal
84,AB23,levelground_cw_normal_01_04_11,normal
85,AB23,levelground_cw_normal_01_04_12,normal
86,AB23,levelground_cw_normal_02_01_02,normal
87,AB23,levelground_cw_normal_02_01_03,normal
88,AB23,levelground_cw_normal_02_01_04,normal
89,AB23,levelground_cw_normal_02_01_10,normal
90,AB23,levelground_cw_normal_02_01_11,normal
91,AB23,levelground_cw_normal_02_02_03,normal
92,AB23,levelground_cw_normal_02_02_04,normal
93,AB23,levelground_cw_normal_02_02_05,normal
94,AB23,levelground_cw_normal_02_02_11,normal
95,AB23,levelground_cw_normal_02_02_12,normal
96,AB23,levelground_cw_slow_01_01_02,slow
97,AB23,levelground_cw_slow_01_01_03,slow
98,AB23,levelground_cw_slow_01_01_04,slow
99,AB23,levelground_cw_slow_01_01_05,slow
100,AB23,levelground_cw_slow_01_01_11,slow
101,AB23,levelground_cw_slow_01_01_12,slow
102,AB23,levelground_cw_slow_01_02_02,slow
103,AB23,levelground_cw_slow_01_02_03,slow
104,AB23,levelground_cw_slow_01_02_04,slow
105,AB23,levelground_cw_slow_01_02_05,slow
106,AB23,levelground_cw_slow_01_02_10,slow
107,AB23,levelground_cw_slow_01_02_11,slow
108,AB23,levelground_cw_slow_01_02_12,slow
109,AB23,levelground_cw_slow_01_03_02,slow
110,AB23,levelground_cw_slow_01_03_03,slow
111,AB23,levelground_cw_slow_01_03_04,slow
112,AB23,levelground_cw_slow_01_03_05,slow
113,AB23,levelground_cw_slow_01_03_10,slow
114,AB23,levelground_cw_slow_01_03_11,slow
115,AB23,levelground_cw_slow_01_03_12,slow
116,AB23,levelground_cw_slow_01_04_03,slow
117,AB23,levelground_cw_slow_01_04_04,slow
118,AB23,levelground_cw_slow_01_04_05,slow
119,AB23,levelground_cw_slow_01_04_06,slow
120,AB23,levelground_cw_slow_01_04_11,slow
121,AB23,levelground_cw_slow_01_04_12,slow
122,AB23,levelground_cw_slow_01_04_13,slow
123,AB23,levelground_cw_slow_01_05_02,slow
124,AB23,levelground_cw_slow_01_05_03,slow
125,AB23,levelground_cw_slow_01_05_04,slow
126,AB23,levelground_cw_slow_01_05_05,slow
127,AB23,levelground_cw_slow_01_05_11,slow
128,AB23,levelground_cw_slow_01_05_12,slow
