StrideIndex,Subject,Trial,Speed
1,AB12,levelground_ccw_fast_01_01_08,fast
2,AB12,levelground_ccw_fast_01_02_08,fast
3,AB12,levelground_ccw_fast_01_03_08,fast
4,AB12,levelground_ccw_fast_01_04_08,fast
5,AB12,levelground_ccw_fast_01_05_08,fast
6,AB12,levelground_ccw_fast_01_06_08,fast
7,AB12,levelground_ccw_normal_01_01_08,normal
8,AB12,levelground_ccw_normal_01_01_09,normal
9,AB12,levelground_ccw_normal_01_02_03,normal
10,AB12,levelground_ccw_normal_01_02_08,normal
11,AB12,levelground_ccw_normal_01_02_09,normal
12,AB12,levelground_ccw_normal_01_03_09,normal
13,AB12,levelground_ccw_normal_01_03_10,normal
14,AB12,levelground_ccw_normal_01_04_03,normal
15,AB12,levelground_ccw_normal_01_04_09,normal
16,AB12,levelground_ccw_normal_01_04_10,normal
17,AB12,levelground_ccw_normal_01_05_03,normal
18,AB12,levelground_ccw_normal_01_05_09,normal
19,AB12,levelground_ccw_normal_01_05_10,normal
20,AB12,levelground_ccw_slow_01_01_03,slow
21,AB12,levelground_ccw_slow_01_01_09,slow
22,AB12,levelground_ccw_slow_01_01_10,slow
23,AB12,levelground_ccw_slow_01_02_03,slow
24,AB12,levelground_ccw_slow_01_02_09,slow
25,AB12,levelground_ccw_slow_01_02_10,slow
26,AB12,levelground_ccw_slow_01_02_11,slow
27,AB12,levelground_ccw_slow_01_03_03,slow
28,AB12,levelground_ccw_slow_01_03_09,slow
29,AB12,levelground_ccw_slow_01_03_10,slow
30,AB12,levelground_ccw_slow_01_04_03,slow
31,AB12,levelground_ccw_slow_01_04_09,slow
32,AB12,levelground_ccw_slow_01_04_10,slow
33,AB12,levelground_ccw_slow_01_04_11,slow
34,AB12,levelground_ccw_slow_01_05_03,slow
35,AB12,levelground_ccw_slow_01_05_09,slow
36,AB12,levelground_ccw_slow_01_05_10,slow
37,AB12,levelground_ccw_slow_01_05_11,slow
38,AB12,levelground_cw_fast_01_01_02,fast
39,AB12,levelground_cw_fast_01_01_03,fast
40,AB12,levelground_cw_fast_01_01_09,fast
41,AB12,levelground_cw_fast_01_02_02,fast
42,AB12,levelground_cw_fast_01_02_03,fast
43,AB12,levelground_cw_fast_01_02_09,fast
44,AB12,levelground_cw_fast_01_03_02,fast
45,AB12,levelground_cw_fast_01_03_03,fast
46,AB12,levelground_cw_fast_01_03_04,fast
47,AB12,levelground_cw_fast_01_03_09,fast
48,AB12,levelground_cw_fast_01_04_02,fast
49,AB12,levelground_cw_fast_01_04_03,fast
50,AB12,levelground_cw_fast_01_04_09,fast
51,AB12,levelground_cw_fast_01_05_03,fast
52,AB12,levelground_cw_fast_01_05_04,fast
53,AB12,levelground_cw_fast_01_05_10,fast
54,AB12,levelground_cw_normal_01_01_02,normal
55,AB12,levelground_cw_normal_01_01_03,normal
56,AB12,levelground_cw_normal_01_01_04,normal
57,AB12,levelground_cw_normal_01_01_10,normal
58,AB12,levelground_cw_normal_01_01_11,normal
59,AB12,levelground_cw_normal_01_02_02,normal
60,AB12,levelground_cw_normal_01_02_03,normal
61,AB12,levelground_cw_normal_01_02_04,normal
62,AB12,levelground_cw_normal_01_02_10,normal
63,AB12,levelground_cw_normal_01_02_11,normal
64,AB12,levelground_cw_normal_01_03_02,normal
65,AB12,levelground_cw_normal_01_03_03,normal
66,AB12,levelground_cw_normal_01_03_04,normal
67,AB12,levelground_cw_normal_01_03_10,normal
68,AB12,levelground_cw_normal_01_03_11,normal
69,AB12,levelground_cw_normal_01_04_02,normal
70,AB12,levelground_cw_normal_01_04_03,normal
71,AB12,levelground_cw_normal_01_04_04,normal
72,AB12,levelground_cw_normal_01_04_10,normal
73,AB12,levelground_cw_normal_01_04_11,normal
74,AB12,levelground_cw_normal_01_05_01,normal
75,AB12,levelground_cw_normal_01_05_02,normal
76,AB12,levelground_cw_normal_01_05_03,normal
77,AB12,levelground_cw_normal_01_05_09,normal
78,AB12,levelground_cw_normal_01_05_10,normal
79,AB12,levelground_cw_normal_02_01_02,normal
80,AB12,levelground_cw_normal_02_01_03,normal
81,AB12,levelground_cw_normal_02_01_04,normal
82,AB12,levelground_cw_normal_02_01_10,normal
83,AB12,levelground_cw_normal_02_01_11,normal
84,AB12,levelground_cw_normal_02_02_02,normal
85,AB12,levelground_cw_normal_02_02_03,normal
86,AB12,levelground_cw_normal_02_02_04,normal
87,AB12,levelground_cw_normal_02_02_10,normal
88,AB12,levelground_cw_normal_02_02_11,normal
89,AB12,levelground_cw_slow_01_01_02,slow
90,AB12,levelground_cw_slow_01_01_03,slow
91,AB12,levelground_cw_slow_01_01_04,slow
92,AB12,levelground_cw_slow_01_01_05,slow
93,AB12,levelground_cw_slow_01_01_11,slow
94,AB12,levelground_cw_slow_01_01_12,slow
95,AB12,levelground_cw_slow_01_01_13,slow
96,AB12,levelground_cw_slow_01_02_02,slow
97,AB12,levelground_cw_slow_01_02_03,slow
98,AB12,levelground_cw_slow_01_02_04,slow
99,AB12,levelground_cw_slow_01_02_05,slow
100,AB12,levelground_cw_slow_01_02_12,slow
101,AB12,levelground_cw_slow_01_02_13,slow
102,AB12,levelground_cw_slow_01_03_01,slow
103,AB12,levelground_cw_slow_01_03_02,slow
104,AB12,levelground_cw_slow_01_03_03,slow
105,AB12,levelground_cw_slow_01_03_04,slow
106,AB12,levelground_cw_slow_01_03_10,slow
107,AB12,levelground_cw_slow_01_03_11,slow
108,AB12,levelground_cw_slow_01_04_02,slow
109,AB12,levelground_cw_slow_01_04_03,slow
110,AB12,levelground_cw_slow_01_04_04,slow
111,AB12,levelground_cw_slow_01_04_05,slow
112,AB12,levelground_cw_slow_01_04_10,slow
113,AB12,levelground_cw_slow_01_04_11,slow
114,AB12,levelground_cw_slow_01_05_02,slow
115,AB12,levelground_cw_slow_01_05_03,slow
116,AB12,levelground_cw_slow_01_05_04,slow
117,AB12,levelground_cw_slow_01_05_11,slow
118,AB12,levelground_cw_slow_01_05_12,slow
119,AB12,levelground_cw_slow_02_01_02,slow
120,AB12,levelground_cw_slow_02_01_03,slow
121,AB12,levelground_cw_slow_02_01_04,slow
122,AB12,levelground_cw_slow_02_01_05,slow
123,AB12,levelground_cw_slow_02_01_12,slow
