StrideIndex,Subject,Trial,Speed
1,AB13,levelground_ccw_fast_01_01_07,fast
2,AB13,levelground_ccw_fast_01_01_08,fast
3,AB13,levelground_ccw_fast_01_02_07,fast
4,AB13,levelground_ccw_fast_01_02_08,fast
5,AB13,levelground_ccw_fast_01_03_09,fast
6,AB13,levelground_ccw_fast_01_03_10,fast
7,AB13,levelground_ccw_fast_01_04_07,fast
8,AB13,levelground_ccw_fast_01_04_08,fast
9,AB13,levelground_ccw_fast_02_01_07,fast
10,AB13,levelground_ccw_fast_02_01_08,fast
11,AB13,levelground_ccw_fast_02_02_07,fast
12,AB13,levelground_ccw_fast_02_02_08,fast
13,AB13,levelground_ccw_fast_02_02_09,fast
14,AB13,levelground_ccw_fast_02_03_07,fast
15,AB13,levelground_ccw_fast_02_03_08,fast
16,AB13,levelground_ccw_normal_01_01_03,normal
17,AB13,levelground_ccw_normal_01_01_08,normal
18,AB13,levelground_ccw_normal_01_01_09,normal
19,AB13,levelground_ccw_normal_01_01_10,normal
20,AB13,levelground_ccw_normal_01_02_07,normal
21,AB13,levelground_ccw_normal_01_02_08,normal
22,AB13,levelground_ccw_normal_01_02_09,normal
23,AB13,levelground_ccw_normal_01_03_07,normal
24,AB13,levelground_ccw_normal_01_03_08,normal
25,AB13,levelground_ccw_normal_01_03_09,normal
26,AB13,levelground_ccw_normal_01_04_07,normal
27,AB13,levelground_ccw_normal_01_04_08,normal
28,AB13,levelground_ccw_normal_01_04_09,normal
29,AB13,levelground_ccw_normal_01_05_07,normal
30,AB13,levelground_ccw_normal_01_05_08,normal
31,AB13,levelground_ccw_normal_01_05_09,normal
32,AB13,levelground_ccw_slow_01_01_03,slow
33,AB13,levelground_ccw_slow_01_01_04,slow
34,AB13,levelground_ccw_slow_01_01_09,slow
35,AB13,levelground_ccw_slow_01_01_10,slow
36,AB13,levelground_ccw_slow_01_02_03,slow
37,AB13,levelground_ccw_slow_01_02_09,slow
38,AB13,levelground_ccw_slow_01_02_10,slow
39,AB13,levelground_ccw_slow_01_02_11,slow
40,AB13,levelground_ccw_slow_01_03_03,slow
41,AB13,levelground_ccw_slow_01_03_08,slow
42,AB13,levelground_ccw_slow_01_03_09,slow
43,AB13,levelground_ccw_slow_01_03_10,slow
44,AB13,levelground_ccw_slow_01_04_03,slow
45,AB13,levelground_ccw_slow_01_04_09,slow
46,AB13,levelground_ccw_slow_01_04_10,slow
47,AB13,levelground_ccw_slow_01_04_11,slow
48,AB13,levelground_ccw_slow_01_05_03,slow
49,AB13,levelground_ccw_slow_01_05_09,slow
50,AB13,levelground_ccw_slow_01_05_10,slow
51,AB13,levelground_ccw_slow_01_05_11,slow
52,AB13,levelground_cw_fast_01_01_02,fast
53,AB13,levelground_cw_fast_01_01_03,fast
54,AB13,levelground_cw_fast_01_01_04,fast
55,AB13,levelground_cw_fast_01_01_09,fast
56,AB13,levelground_cw_fast_01_02_03,fast
57,AB13,levelground_cw_fast_01_02_04,fast
58,AB13,levelground_cw_fast_01_02_10,fast
59,AB13,levelground_cw_fast_01_03_03,fast
60,AB13,levelground_cw_fast_01_03_04,fast
61,AB13,levelground_cw_fast_01_03_05,fast
62,AB13,levelground_cw_fast_01_03_10,fast
63,AB13,levelground_cw_fast_01_04_02,fast
64,AB13,levelground_cw_fast_01_04_03,fast
65,AB13,levelground_cw_fast_01_04_04,fast
66,AB13,levelground_cw_fast_01_04_09,fast
67,AB13,levelground_cw_fast_01_05_02,fast
68,AB13,levelground_cw_fast_01_05_03,fast
69,AB13,levelground_cw_fast_01_05_04,fast
70,AB13,levelground_cw_fast_01_05_09,fast
71,AB13,levelground_cw_fast_01_05_10,fast
72,AB13,levelground_cw_normal_01_01_02,normal
73,AB13,levelground_cw_normal_01_01_03,normal
74,AB13,levelground_cw_normal_01_01_04,normal
75,AB13,levelground_cw_normal_01_01_10,normal
76,AB13,levelground_cw_normal_01_01_11,normal
77,AB13,levelground_cw_normal_01_02_02,normal
78,AB13,levelground_cw_normal_01_02_03,normal
79,AB13,levelground_cw_normal_01_02_04,normal
80,AB13,levelground_cw_normal_01_02_10,normal
81,AB13,levelground_cw_normal_01_02_11,normal
82,AB13,levelground_cw_normal_01_03_02,normal
83,AB13,levelground_cw_normal_01_03_03,normal
84,AB13,levelground_cw_normal_01_03_04,normal
85,AB13,levelground_cw_normal_01_03_10,normal
86,AB13,levelground_cw_normal_01_03_11,normal
87,AB13,levelground_cw_normal_01_04_02,normal
88,AB13,levelground_cw_normal_01_04_03,normal
89,AB13,levelground_cw_normal_01_04_04,normal
90,AB13,levelground_cw_normal_01_04_05,normal
91,AB13,levelground_cw_normal_01_04_10,normal
92,AB13,levelground_cw_normal_01_04_11,normal
93,AB13,levelground_cw_slow_01_01_02,slow
94,AB13,levelground_cw_slow_01_01_03,slow
95,AB13,levelground_cw_slow_01_01_04,slow
96,AB13,levelground_cw_slow_01_01_05,slow
97,AB13,levelground_cw_slow_01_01_10,slow
98,AB13,levelground_cw_slow_01_01_11,slow
99,AB13,levelground_cw_slow_01_02_02,slow
100,AB13,levelground_cw_slow_01_02_03,slow
101,AB13,levelground_cw_slow_01_02_04,slow
102,AB13,levelground_cw_slow_01_02_10,slow
103,AB13,levelground_cw_slow_01_02_11,slow
104,AB13,levelground_cw_slow_01_03_01,slow
105,AB13,levelground_cw_slow_01_03_02,slow
106,AB13,levelground_cw_slow_01_03_03,slow
107,AB13,levelground_cw_slow_01_03_04,slow
108,AB13,levelground_cw_slow_01_03_09,slow
109,AB13,levelground_cw_slow_01_03_10,slow
110,AB13,levelground_cw_slow_01_04_02,slow
111,AB13,levelground_cw_slow_01_04_03,slow
112,AB13,levelground_cw_slow_01_04_04,slow
113,AB13,levelground_cw_slow_01_04_05,slow
114,AB13,levelground_cw_slow_01_04_10,slow
115,AB13,levelground_cw_slow_01_04_11,slow
