StrideIndex,Subject,Trial,Speed
1,AB18,levelground_ccw_fast_01_01_03,fast
2,AB18,levelground_ccw_fast_01_01_09,fast
3,AB18,levelground_ccw_fast_01_02_03,fast
4,AB18,levelground_ccw_fast_01_02_09,fast
5,AB18,levelground_ccw_fast_01_03_03,fast
6,AB18,levelground_ccw_fast_01_03_09,fast
7,AB18,levelground_ccw_fast_01_04_03,fast
8,AB18,levelground_ccw_fast_01_04_09,fast
9,AB18,levelground_ccw_fast_01_05_03,fast
10,AB18,levelground_ccw_fast_01_05_09,fast
11,AB18,levelground_ccw_normal_01_01_03,normal
12,AB18,levelground_ccw_normal_01_01_08,normal
13,AB18,levelground_ccw_normal_01_02_03,normal
14,AB18,levelground_ccw_normal_01_02_08,normal
15,AB18,levelground_ccw_normal_01_03_03,normal
16,AB18,levelground_ccw_normal_01_03_08,normal
17,AB18,levelground_ccw_normal_01_04_03,normal
18,AB18,levelground_ccw_normal_01_04_08,normal
19,AB18,levelground_ccw_normal_01_05_03,normal
20,AB18,levelground_ccw_normal_01_05_08,normal
21,AB18,levelground_ccw_slow_01_01_03,slow
22,AB18,levelground_ccw_slow_01_01_04,slow
23,AB18,levelground_ccw_slow_01_01_09,slow
24,AB18,levelground_ccw_slow_01_01_10,slow
25,AB18,levelground_ccw_slow_01_02_03,slow
26,AB18,levelground_ccw_slow_01_02_04,slow
27,AB18,levelground_ccw_slow_01_02_09,slow
28,AB18,levelground_ccw_slow_01_02_10,slow
29,AB18,levelground_ccw_slow_01_03_03,slow
30,AB18,levelground_ccw_slow_01_03_04,slow
31,AB18,levelground_ccw_slow_01_03_09,slow
32,AB18,levelground_ccw_slow_01_03_10,slow
33,AB18,levelground_ccw_slow_01_04_03,slow
34,AB18,levelground_ccw_slow_01_04_04,slow
35,AB18,levelground_ccw_slow_01_04_09,slow
36,AB18,levelground_ccw_slow_01_04_10,slow
37,AB18,levelground_ccw_slow_01_05_03,slow
38,AB18,levelground_ccw_slow_01_05_04,slow
39,AB18,levelground_ccw_slow_01_05_09,slow
40,AB18,levelground_ccw_slow_01_05_10,slow
41,AB18,levelground_cw_fast_01_01_02,fast
42,AB18,levelground_cw_fast_01_01_03,fast
43,AB18,levelground_cw_fast_01_01_09,fast
44,AB18,levelground_cw_fast_01_02_03,fast
45,AB18,levelground_cw_fast_01_02_04,fast
46,AB18,levelground_cw_fast_01_02_10,fast
47,AB18,levelground_cw_fast_02_01_02,fast
48,AB18,levelground_cw_fast_02_01_03,fast
49,AB18,levelground_cw_fast_02_01_04,fast
50,AB18,levelground_cw_fast_02_01_10,fast
51,AB18,levelground_cw_fast_02_02_03,fast
52,AB18,levelground_cw_fast_02_02_04,fast
53,AB18,levelground_cw_fast_02_02_10,fast
54,AB18,levelground_cw_fast_02_03_02,fast
55,AB18,levelground_cw_fast_02_03_03,fast
56,AB18,levelground_cw_fast_02_03_09,fast
57,AB18,levelground_cw_fast_02_04_03,fast
58,AB18,levelground_cw_fast_02_04_04,fast
59,AB18,levelground_cw_fast_02_04_10,fast
60,AB18,levelground_cw_fast_02_05_03,fast
61,AB18,levelground_cw_fast_02_05_04,fast
62,AB18,levelground_cw_fast_02_05_10,fast
63,AB18,levelground_cw_normal_01_01_02,normal
64,AB18,levelground_cw_normal_01_01_03,normal
65,AB18,levelground_cw_normal_01_01_04,normal
66,AB18,levelground_cw_normal_01_01_09,normal
67,AB18,levelground_cw_normal_01_02_02,normal
68,AB18,levelground_cw_normal_01_02_03,normal
69,AB18,levelground_cw_normal_01_02_04,normal
70,AB18,levelground_cw_normal_01_02_09,normal
71,AB18,levelground_cw_normal_01_03_02,normal
72,AB18,levelground_cw_normal_01_03_03,normal
73,AB18,levelground_cw_normal_01_03_04,normal
74,AB18,levelground_cw_normal_01_03_09,normal
75,AB18,levelground_cw_normal_01_04_02,normal
76,AB18,levelground_cw_normal_01_04_03,normal
77,AB18,levelground_cw_normal_01_04_04,normal
78,AB18,levelground_cw_normal_01_04_09,normal
79,AB18,levelground_cw_normal_01_05_02,normal
80,AB18,levelground_cw_normal_01_05_03,normal
81,AB18,levelground_cw_normal_01_05_04,normal
82,AB18,levelground_cw_normal_01_05_09,normal
83,AB18,levelground_cw_slow_01_01_02,slow
84,AB18,levelground_cw_slow_01_01_03,slow
85,AB18,levelground_cw_slow_01_01_04,slow
86,AB18,levelground_cw_slow_01_01_10,slow
87,AB18,levelground_cw_slow_01_01_11,slow
88,AB18,levelground_cw_slow_01_02_02,slow
89,AB18,levelground_cw_slow_01_02_03,slow
90,AB18,levelground_cw_slow_01_02_04,slow
91,AB18,levelground_cw_slow_01_02_10,slow
92,AB18,levelground_cw_slow_01_02_11,slow
93,AB18,levelground_cw_slow_01_03_02,slow
94,AB18,levelground_cw_slow_01_03_03,slow
95,AB18,levelground_cw_slow_01_03_04,slow
96,AB18,levelground_cw_slow_01_03_10,slow
97,AB18,levelground_cw_slow_01_03_11,slow
98,AB18,levelground_cw_slow_01_04_02,slow
99,AB18,levelground_cw_slow_01_04_03,slow
100,AB18,levelground_cw_slow_01_04_04,slow
101,AB18,levelground_cw_slow_01_04_05,slow
102,AB18,levelground_cw_slow_01_04_10,slow
103,AB18,levelground_cw_slow_01_04_11,slow
104,AB18,levelground_cw_slow_01_05_02,slow
105,AB18,levelground_cw_slow_01_05_03,slow
106,AB18,levelground_cw_slow_01_05_04,slow
107,AB18,levelground_cw_slow_01_05_10,slow
108,AB18,levelground_cw_slow_01_05_11,slow
