StrideIndex,Subject,Trial,Speed
1,AB07,levelground_ccw_fast_01_01_03,fast
2,AB07,levelground_ccw_fast_01_01_07,fast
3,AB07,levelground_ccw_fast_01_01_08,fast
4,AB07,levelground_ccw_fast_01_02_03,fast
5,AB07,levelground_ccw_fast_01_02_07,fast
6,AB07,levelground_ccw_fast_01_02_08,fast
7,AB07,levelground_ccw_fast_01_03_03,fast
8,AB07,levelground_ccw_fast_01_03_07,fast
9,AB07,levelground_ccw_fast_01_03_08,fast
10,AB07,levelground_ccw_fast_01_04_03,fast
11,AB07,levelground_ccw_fast_01_04_07,fast
12,AB07,levelground_ccw_fast_01_04_08,fast
13,AB07,levelground_ccw_fast_01_05_03,fast
14,AB07,levelground_ccw_fast_01_05_07,fast
15,AB07,levelground_ccw_fast_01_05_08,fast
16,AB07,levelground_ccw_normal_01_01_03,normal
17,AB07,levelground_ccw_normal_01_01_08,normal
18,AB07,levelground_ccw_normal_01_01_09,normal
19,AB07,levelground_ccw_normal_01_02_03,normal
20,AB07,levelground_ccw_normal_01_02_07,normal
21,AB07,levelground_ccw_normal_01_02_08,normal
22,AB07,levelground_ccw_normal_01_02_09,normal
23,AB07,levelground_ccw_normal_01_03_03,normal
24,AB07,levelground_ccw_normal_01_03_07,normal
25,AB07,levelground_ccw_normal_01_03_08,normal
26,AB07,levelground_ccw_normal_01_03_09,normal
27,AB07,levelground_ccw_normal_02_01_03,normal
28,AB07,levelground_ccw_normal_02_01_07,normal
29,AB07,levelground_ccw_normal_02_01_08,normal
30,AB07,levelground_ccw_normal_02_01_09,normal
31,AB07,levelground_ccw_normal_02_02_03,normal
32,AB07,levelground_ccw_normal_02_02_07,normal
33,AB07,levelground_ccw_normal_02_02_08,normal
34,AB07,levelground_ccw_normal_02_02_09,normal
35,AB07,levelground_ccw_slow_01_01_03,slow
36,AB07,levelground_ccw_slow_01_01_04,slow
37,AB07,levelground_ccw_slow_01_01_09,slow
38,AB07,levelground_ccw_slow_01_01_10,slow
39,AB07,levelground_ccw_slow_01_02_04,slow
40,AB07,levelground_ccw_slow_01_02_05,slow
41,AB07,levelground_ccw_slow_01_02_10,slow
42,AB07,levelground_ccw_slow_01_02_11,slow
43,AB07,levelground_ccw_slow_01_03_03,slow
44,AB07,levelground_ccw_slow_01_03_04,slow
45,AB07,levelground_ccw_slow_01_03_09,slow
46,AB07,levelground_ccw_slow_01_03_10,slow
47,AB07,levelground_ccw_slow_01_03_11,slow
48,AB07,levelground_ccw_slow_01_04_03,slow
49,AB07,levelground_ccw_slow_01_04_04,slow
50,AB07,levelground_ccw_slow_01_04_09,slow
51,AB07,levelground_ccw_slow_01_04_10,slow
52,AB07,levelground_ccw_slow_01_05_03,slow
53,AB07,levelground_ccw_slow_01_05_04,slow
54,AB07,levelground_ccw_slow_01_05_09,slow
55,AB07,levelground_ccw_slow_01_05_10,slow
56,AB07,levelground_cw_fast_01_01_02,fast
57,AB07,levelground_cw_fast_01_01_03,fast
58,AB07,levelground_cw_fast_01_01_04,fast
59,AB07,levelground_cw_fast_01_01_05,fast
60,AB07,levelground_cw_fast_01_01_10,fast
61,AB07,levelground_cw_fast_01_01_11,fast
62,AB07,levelground_cw_fast_01_02_03,fast
63,AB07,levelground_cw_fast_01_02_04,fast
64,AB07,levelground_cw_fast_01_02_05,fast
65,AB07,levelground_cw_fast_01_02_06,fast
66,AB07,levelground_cw_fast_01_02_11,fast
67,AB07,levelground_cw_fast_01_03_02,fast
68,AB07,levelground_cw_fast_01_03_03,fast
69,AB07,levelground_cw_fast_01_03_04,fast
70,AB07,levelground_cw_fast_01_03_05,fast
71,AB07,levelground_cw_fast_01_03_10,fast
72,AB07,levelground_cw_fast_01_04_03,fast
73,AB07,levelground_cw_fast_01_04_04,fast
74,AB07,levelground_cw_fast_01_04_05,fast
75,AB07,levelground_cw_fast_01_04_06,fast
76,AB07,levelground_cw_fast_01_04_11,fast
77,AB07,levelground_cw_fast_01_05_02,fast
78,AB07,levelground_cw_fast_01_05_03,fast
79,AB07,levelground_cw_fast_01_05_04,fast
80,AB07,levelground_cw_fast_01_05_05,fast
81,AB07,levelground_cw_fast_01_05_10,fast
82,AB07,levelground_cw_normal_01_01_02,normal
83,AB07,levelground_cw_normal_01_01_03,normal
84,AB07,levelground_cw_normal_01_01_04,normal
85,AB07,levelground_cw_normal_01_01_05,normal
86,AB07,levelground_cw_normal_01_01_11,normal
87,AB07,levelground_cw_normal_01_01_12,normal
88,AB07,levelground_cw_normal_01_02_03,normal
89,AB07,levelground_cw_normal_01_02_04,normal
90,AB07,levelground_cw_normal_01_02_05,normal
91,AB07,levelground_cw_normal_01_02_06,normal
92,AB07,levelground_cw_normal_01_02_12,normal
93,AB07,levelground_cw_normal_01_02_13,normal
94,AB07,levelground_cw_normal_01_03_03,normal
95,AB07,levelground_cw_normal_01_03_04,normal
96,AB07,levelground_cw_normal_01_03_05,normal
97,AB07,levelground_cw_normal_01_03_06,normal
98,AB07,levelground_cw_normal_01_03_12,normal
99,AB07,levelground_cw_normal_01_03_13,normal
100,AB07,levelground_cw_normal_01_04_03,normal
101,AB07,levelground_cw_normal_01_04_04,normal
102,AB07,levelground_cw_normal_01_04_05,normal
103,AB07,levelground_cw_normal_01_04_06,normal
104,AB07,levelground_cw_normal_01_04_12,normal
105,AB07,levelground_cw_normal_01_04_13,normal
106,AB07,levelground_cw_normal_01_05_03,normal
107,AB07,levelground_cw_normal_01_05_04,normal
108,AB07,levelground_cw_normal_01_05_05,normal
109,AB07,levelground_cw_normal_01_05_06,normal
110,AB07,levelground_cw_normal_01_05_12,normal
111,AB07,levelground_cw_normal_01_05_13,normal
112,AB07,levelground_cw_slow_01_01_02,slow
113,AB07,levelground_cw_slow_01_01_03,slow
114,AB07,levelground_cw_slow_01_01_04,slow
115,AB07,levelground_cw_slow_01_01_05,slow
116,AB07,levelground_cw_slow_01_01_11,slow
117,AB07,levelground_cw_slow_01_01_12,slow
118,AB07,levelground_cw_slow_01_01_13,slow
119,AB07,levelground_cw_slow_01_02_03,slow
120,AB07,levelground_cw_slow_01_02_04,slow
121,AB07,levelground_cw_slow_01_02_05,slow
122,AB07,levelground_cw_slow_01_02_06,slow
123,AB07,levelground_cw_slow_01_02_12,slow
124,AB07,levelground_cw_slow_01_02_13,slow
125,AB07,levelground_cw_slow_01_02_14,slow
126,AB07,levelground_cw_slow_01_03_02,slow
127,AB07,levelground_cw_slow_01_03_03,slow
128,AB07,levelground_cw_slow_01_03_04,slow
129,AB07,levelground_cw_slow_01_03_05,slow
130,AB07,levelground_cw_slow_01_03_11,slow
131,AB07,levelground_cw_slow_01_03_12,slow
132,AB07,levelground_cw_slow_01_03_13,slow
133,AB07,levelground_cw_slow_01_04_02,slow
134,AB07,levelground_cw_slow_01_04_03,slow
135,AB07,levelground_cw_slow_01_04_04,slow
136,AB07,levelground_cw_slow_01_04_05,slow
137,AB07,levelground_cw_slow_01_04_11,slow
138,AB07,levelground_cw_slow_01_04_12,slow
139,AB07,levelground_cw_slow_01_04_13,slow
140,AB07,levelground_cw_slow_01_05_03,slow
141,AB07,levelground_cw_slow_01_05_04,slow
142,AB07,levelground_cw_slow_01_05_05,slow
143,AB07,levelground_cw_slow_01_05_06,slow
144,AB07,levelground_cw_slow_01_05_12,slow
145,AB07,levelground_cw_slow_01_05_13,slow
146,AB07,levelground_cw_slow_01_05_14,slow
147,AB07,levelground_cw_slow_02_01_02,slow
148,AB07,levelground_cw_slow_02_01_03,slow
149,AB07,levelground_cw_slow_02_01_04,slow
150,AB07,levelground_cw_slow_02_01_05,slow
151,AB07,levelground_cw_slow_02_01_11,slow
152,AB07,levelground_cw_slow_02_01_12,slow
153,AB07,levelground_cw_slow_02_01_13,slow
